Gene	Module	kME
5604	P3_I5_M3	0.88
5605	P1_I9_M2	0.93
5606	UNCLASSIFIED	NA
5607	P2_I6_M3	0.87
5608	UNCLASSIFIED	NA
5609	UNCLASSIFIED	NA
5610	UNCLASSIFIED	NA
5611	P1_I9_M1	0.85
5612	P2_I6_M3	0.86
5613	P1_I9_M2	0.87
5614	P1_I9_M2	0.91
5615	UNCLASSIFIED	NA
5616	P1_I9_M2	0.86
5617	UNCLASSIFIED	NA
5618	UNCLASSIFIED	NA
5619	UNCLASSIFIED	NA
5620	UNCLASSIFIED	NA
5621	UNCLASSIFIED	NA
5622	P1_I9_M1	0.91
5623	UNCLASSIFIED	NA
5624	UNCLASSIFIED	NA
5625	UNCLASSIFIED	NA
5626	P2_I6_M11	0.92
5627	P1_I9_M1	0.93
5628	P1_I9_M2	0.97
5629	P2_I6_M2	0.82
5630	P1_I9_M3	0.88
5631	P2_I6_M5	0.89
5632	UNCLASSIFIED	NA
5633	P1_I9_M1	0.89
5634	P1_I9_M2	0.88
5635	P1_I9_M3	0.87
5636	P1_I9_M2	0.85
5637	P1_I9_M2	0.95
5638	P2_I6_M2	0.86
5639	UNCLASSIFIED	NA
5640	UNCLASSIFIED	NA
5641	UNCLASSIFIED	NA
5642	UNCLASSIFIED	NA
5643	P1_I9_M2	0.94
5644	P1_I9_M1	0.95
5645	UNCLASSIFIED	NA
5646	UNCLASSIFIED	NA
5647	P1_I9_M2	0.86
5648	P1_I9_M3	0.81
5649	P2_I6_M2	0.87
5650	P1_I9_M2	0.91
5651	UNCLASSIFIED	NA
5652	P4_I3_M1	0.86
5653	P1_I9_M1	0.96
5654	P1_I9_M1	0.8
5655	P3_I5_M3	0.84
5656	UNCLASSIFIED	NA
5657	UNCLASSIFIED	NA
5658	UNCLASSIFIED	NA
5659	UNCLASSIFIED	NA
5660	UNCLASSIFIED	NA
5661	P1_I9_M2	0.91
5662	P1_I9_M2	0.9
5663	UNCLASSIFIED	NA
5664	UNCLASSIFIED	NA
5665	P1_I9_M2	0.87
5666	P1_I9_M1	0.82
5667	P2_I6_M3	0.83
5668	UNCLASSIFIED	NA
5669	P3_I5_M1	0.87
5670	P1_I9_M2	0.93
5671	P4_I3_M1	0.87
5672	UNCLASSIFIED	NA
5673	P2_I6_M5	0.88
5674	P2_I6_M6	0.81
5675	UNCLASSIFIED	NA
5676	UNCLASSIFIED	NA
5677	UNCLASSIFIED	NA
5678	P2_I6_M1	0.86
5679	P2_I6_M1	0.84
5680	P2_I6_M2	0.85
5681	P2_I6_M4	0.83
5682	P2_I6_M7	0.86
5683	P1_I9_M2	0.92
5684	UNCLASSIFIED	NA
5685	P1_I9_M2	0.96
5686	UNCLASSIFIED	NA
5687	UNCLASSIFIED	NA
5688	P2_I6_M2	0.83
5689	P1_I9_M1	0.99
5690	P2_I6_M5	0.9
5691	UNCLASSIFIED	NA
5692	UNCLASSIFIED	NA
5693	UNCLASSIFIED	NA
5694	UNCLASSIFIED	NA
5695	P1_I9_M6	0.93
5696	UNCLASSIFIED	NA
5697	P1_I9_M2	0.95
5698	UNCLASSIFIED	NA
5699	UNCLASSIFIED	NA
5700	UNCLASSIFIED	NA
5701	P2_I6_M2	0.84
5702	UNCLASSIFIED	NA
5703	UNCLASSIFIED	NA
5704	P2_I6_M1	0.88
5705	P1_I9_M2	0.88
5706	P1_I9_M3	0.86
5707	P1_I9_M1	0.97
5708	P1_I9_M1	0.93
5709	P1_I9_M2	0.84
5710	UNCLASSIFIED	NA
5711	P1_I9_M2	0.95
5712	P2_I6_M3	0.87
5713	P2_I6_M2	0.94
5714	UNCLASSIFIED	NA
5715	P2_I6_M4	0.83
5716	P1_I9_M2	0.85
5717	UNCLASSIFIED	NA
5718	P1_I9_M3	0.83
5719	UNCLASSIFIED	NA
5720	UNCLASSIFIED	NA
5721	P1_I9_M4	0.92
5722	P2_I6_M2	0.88
5723	P2_I6_M11	0.89
5724	P1_I9_M1	0.93
5725	P1_I9_M1	0.89
5726	P1_I9_M1	0.91
5727	P1_I9_M1	0.87
5728	P2_I6_M1	0.85
5729	P2_I6_M11	0.95
5730	UNCLASSIFIED	NA
5731	P1_I9_M3	0.84
5732	P1_I9_M5	0.82
5733	UNCLASSIFIED	NA
5734	P1_I9_M1	0.97
5735	UNCLASSIFIED	NA
5736	UNCLASSIFIED	NA
5737	UNCLASSIFIED	NA
5738	UNCLASSIFIED	NA
5739	P2_I6_M4	0.85
5740	P2_I6_M7	0.86
5741	UNCLASSIFIED	NA
5742	P1_I9_M1	0.93
5743	UNCLASSIFIED	NA
5744	UNCLASSIFIED	NA
5745	UNCLASSIFIED	NA
5746	UNCLASSIFIED	NA
5747	P1_I9_M2	0.84
5748	P1_I9_M2	0.93
5749	P2_I6_M1	0.88
5750	P1_I9_M2	0.95
5751	P2_I6_M8	0.95
5752	UNCLASSIFIED	NA
5753	P1_I9_M2	0.89
5754	P1_I9_M1	0.96
5755	P1_I9_M1	0.94
5756	UNCLASSIFIED	NA
5757	P1_I9_M1	0.95
5758	UNCLASSIFIED	NA
5759	P1_I9_M2	0.94
5760	P1_I9_M1	0.88
5761	P1_I9_M3	0.9
5762	P1_I9_M3	0.9
5763	UNCLASSIFIED	NA
5764	P2_I6_M7	0.84
5765	UNCLASSIFIED	NA
5766	UNCLASSIFIED	NA
5767	UNCLASSIFIED	NA
5768	P1_I9_M5	0.84
5769	UNCLASSIFIED	NA
5770	UNCLASSIFIED	NA
5771	UNCLASSIFIED	NA
5772	UNCLASSIFIED	NA
5773	P1_I9_M1	0.83
5774	UNCLASSIFIED	NA
5775	UNCLASSIFIED	NA
5776	UNCLASSIFIED	NA
5777	P2_I6_M1	0.87
5778	UNCLASSIFIED	NA
5779	P1_I9_M2	0.89
5780	UNCLASSIFIED	NA
5781	UNCLASSIFIED	NA
5782	P2_I6_M1	0.91
5783	UNCLASSIFIED	NA
5784	UNCLASSIFIED	NA
5785	P1_I9_M1	0.82
5786	P4_I3_M1	0.87
5787	UNCLASSIFIED	NA
5788	P2_I6_M10	0.83
5789	P1_I9_M1	0.81
5790	P1_I9_M3	0.93
5791	P1_I9_M1	0.97
5792	P1_I9_M1	0.88
5793	UNCLASSIFIED	NA
5794	UNCLASSIFIED	NA
5795	P1_I9_M2	0.89
5796	UNCLASSIFIED	NA
5797	UNCLASSIFIED	NA
5798	P1_I9_M1	0.84
5799	UNCLASSIFIED	NA
5800	P3_I5_M3	0.83
5801	P1_I9_M2	0.87
5802	P2_I6_M6	0.95
5803	UNCLASSIFIED	NA
5804	UNCLASSIFIED	NA
5805	UNCLASSIFIED	NA
5806	P1_I9_M2	0.87
5807	UNCLASSIFIED	NA
5808	UNCLASSIFIED	NA
5809	P1_I9_M1	0.81
5810	UNCLASSIFIED	NA
5811	UNCLASSIFIED	NA
5812	P1_I9_M2	0.83
5813	UNCLASSIFIED	NA
5814	P1_I9_M1	0.96
5815	P1_I9_M1	0.98
5816	P1_I9_M2	0.91
5817	UNCLASSIFIED	NA
5818	P1_I9_M1	0.85
5819	P4_I3_M1	0.83
5820	P4_I3_M2	0.82
5821	UNCLASSIFIED	NA
5822	P1_I9_M1	0.91
5823	P4_I3_M2	0.9
5824	UNCLASSIFIED	NA
5825	UNCLASSIFIED	NA
5826	P2_I6_M3	0.88
5827	UNCLASSIFIED	NA
5828	P1_I9_M1	0.98
5829	UNCLASSIFIED	NA
5830	P2_I6_M3	0.87
5831	UNCLASSIFIED	NA
5832	UNCLASSIFIED	NA
5833	P1_I9_M1	0.85
5834	UNCLASSIFIED	NA
5835	P1_I9_M2	0.84
5836	P1_I9_M6	0.97
5837	UNCLASSIFIED	NA
5838	UNCLASSIFIED	NA
5839	UNCLASSIFIED	NA
5840	UNCLASSIFIED	NA
5841	UNCLASSIFIED	NA
5842	P1_I9_M1	0.9
5843	P1_I9_M3	0.82
5844	UNCLASSIFIED	NA
5845	P2_I6_M6	0.89
5846	P2_I6_M6	0.86
5847	P2_I6_M3	0.9
5848	P2_I6_M6	0.91
5849	UNCLASSIFIED	NA
5850	UNCLASSIFIED	NA
5851	P1_I9_M1	0.92
5852	P2_I6_M1	0.82
5853	P1_I9_M1	0.93
5854	UNCLASSIFIED	NA
5855	P1_I9_M1	0.82
5856	P4_I3_M2	0.8
5857	UNCLASSIFIED	NA
5858	P1_I9_M2	0.94
5859	P1_I9_M1	0.96
5860	P1_I9_M2	0.83
5861	P1_I9_M2	0.83
5862	UNCLASSIFIED	NA
5863	UNCLASSIFIED	NA
5864	P1_I9_M2	0.91
5865	P1_I9_M2	0.92
5866	P1_I9_M1	0.91
5867	UNCLASSIFIED	NA
5868	P2_I6_M1	0.84
5869	P1_I9_M1	0.98
5870	UNCLASSIFIED	NA
5871	UNCLASSIFIED	NA
5872	P1_I9_M1	0.97
5873	P1_I9_M2	0.96
5874	P2_I6_M1	0.89
5875	P1_I9_M3	0.89
5876	P2_I6_M6	0.9
5877	P1_I9_M1	0.98
5878	P1_I9_M1	0.84
5879	UNCLASSIFIED	NA
5880	P1_I9_M1	0.95
5881	P1_I9_M1	0.85
5882	P1_I9_M2	0.86
5883	UNCLASSIFIED	NA
5884	P1_I9_M2	0.97
5885	UNCLASSIFIED	NA
5886	UNCLASSIFIED	NA
5887	UNCLASSIFIED	NA
5888	UNCLASSIFIED	NA
5889	P2_I6_M11	0.81
5890	UNCLASSIFIED	NA
5891	P2_I6_M5	0.86
5892	P2_I6_M2	0.96
5893	UNCLASSIFIED	NA
5894	UNCLASSIFIED	NA
5895	UNCLASSIFIED	NA
5896	P1_I9_M2	0.96
5897	P2_I6_M6	0.92
5898	P1_I9_M2	0.93
5899	P2_I6_M9	0.81
5900	P1_I9_M2	0.96
5901	UNCLASSIFIED	NA
5902	UNCLASSIFIED	NA
5903	P1_I9_M1	0.98
5904	UNCLASSIFIED	NA
5905	UNCLASSIFIED	NA
5906	P2_I6_M1	0.88
5907	UNCLASSIFIED	NA
5908	UNCLASSIFIED	NA
5909	UNCLASSIFIED	NA
5910	P1_I9_M2	0.88
5911	UNCLASSIFIED	NA
5912	P1_I9_M2	0.86
5913	P1_I9_M2	0.94
5914	P1_I9_M2	0.96
5915	P1_I9_M1	0.97
5916	P2_I6_M4	0.81
5917	P1_I9_M1	0.82
5918	P1_I9_M1	0.88
5919	P2_I6_M7	0.92
5920	UNCLASSIFIED	NA
5921	P2_I6_M1	0.8
5922	P1_I9_M5	0.93
5923	P2_I6_M3	0.84
5924	UNCLASSIFIED	NA
5925	UNCLASSIFIED	NA
5926	UNCLASSIFIED	NA
5927	UNCLASSIFIED	NA
5928	P3_I5_M1	0.91
5929	P1_I9_M3	0.89
5930	UNCLASSIFIED	NA
5931	P2_I6_M6	0.87
5932	UNCLASSIFIED	NA
5933	P1_I9_M1	0.82
5934	P2_I6_M7	0.93
5935	P1_I9_M2	0.88
5936	P1_I9_M2	0.93
5937	P1_I9_M1	0.93
5938	P2_I6_M5	0.83
5939	UNCLASSIFIED	NA
5940	UNCLASSIFIED	NA
5941	UNCLASSIFIED	NA
5942	P1_I9_M2	0.85
5943	P1_I9_M2	0.88
5944	P1_I9_M2	0.96
5945	P1_I9_M1	0.96
5946	UNCLASSIFIED	NA
5947	UNCLASSIFIED	NA
5948	P2_I6_M5	0.81
5949	P1_I9_M1	0.92
5950	UNCLASSIFIED	NA
5951	P1_I9_M2	0.88
5952	P1_I9_M2	0.8
5953	UNCLASSIFIED	NA
5954	UNCLASSIFIED	NA
5955	P2_I6_M3	0.85
5956	P2_I6_M9	0.88
5957	P1_I9_M2	0.94
5958	P4_I3_M1	0.84
5959	UNCLASSIFIED	NA
5960	UNCLASSIFIED	NA
5961	P1_I9_M2	0.96
5962	P2_I6_M6	0.83
5963	P2_I6_M4	0.9
5964	UNCLASSIFIED	NA
5965	P1_I9_M2	0.92
5966	UNCLASSIFIED	NA
5967	P2_I6_M5	0.82
5968	UNCLASSIFIED	NA
5969	UNCLASSIFIED	NA
5970	UNCLASSIFIED	NA
5971	P1_I9_M1	0.93
5972	P4_I3_M1	0.86
5973	UNCLASSIFIED	NA
5974	P1_I9_M1	0.86
5975	P2_I6_M6	0.84
5976	UNCLASSIFIED	NA
5977	P1_I9_M2	0.9
5978	UNCLASSIFIED	NA
5979	P1_I9_M2	0.82
5980	P2_I6_M9	0.85
5981	P2_I6_M7	0.88
5982	P2_I6_M6	0.9
5983	P1_I9_M2	0.87
5984	UNCLASSIFIED	NA
5985	UNCLASSIFIED	NA
5986	UNCLASSIFIED	NA
5987	UNCLASSIFIED	NA
5988	P1_I9_M1	0.89
5989	UNCLASSIFIED	NA
5990	P2_I6_M8	0.85
5991	P1_I9_M6	0.96
5992	P1_I9_M1	0.92
5993	UNCLASSIFIED	NA
5994	P1_I9_M4	0.87
5995	UNCLASSIFIED	NA
5996	P2_I6_M2	0.84
5997	P2_I6_M1	0.87
5998	UNCLASSIFIED	NA
5999	P1_I9_M1	0.9
6000	UNCLASSIFIED	NA
6001	P1_I9_M1	0.92
6002	P1_I9_M1	0.96
6003	P1_I9_M3	0.85
6004	P1_I9_M1	0.93
6005	P1_I9_M1	0.87
6006	UNCLASSIFIED	NA
6007	UNCLASSIFIED	NA
6008	P2_I6_M6	0.81
6009	UNCLASSIFIED	NA
6010	P1_I9_M2	0.97
6011	UNCLASSIFIED	NA
6012	UNCLASSIFIED	NA
6013	UNCLASSIFIED	NA
6014	UNCLASSIFIED	NA
6015	P2_I6_M3	0.82
6016	P1_I9_M2	0.82
6017	UNCLASSIFIED	NA
6018	P3_I5_M1	0.82
6019	UNCLASSIFIED	NA
6020	P1_I9_M2	0.98
6021	UNCLASSIFIED	NA
6022	P1_I9_M1	0.99
6023	P1_I9_M2	0.85
6024	P1_I9_M2	0.98
6025	P1_I9_M1	0.96
6026	UNCLASSIFIED	NA
6027	P2_I6_M2	0.84
6028	P1_I9_M1	0.83
6029	P1_I9_M1	0.92
6030	P1_I9_M2	0.92
6031	UNCLASSIFIED	NA
6032	P2_I6_M1	0.85
6033	UNCLASSIFIED	NA
6034	P1_I9_M1	0.97
6035	UNCLASSIFIED	NA
6036	UNCLASSIFIED	NA
6037	P1_I9_M2	0.89
6038	UNCLASSIFIED	NA
6039	P1_I9_M1	0.98
6040	UNCLASSIFIED	NA
6041	UNCLASSIFIED	NA
6042	P2_I6_M5	0.91
6043	UNCLASSIFIED	NA
6044	UNCLASSIFIED	NA
6045	P2_I6_M1	0.86
6046	UNCLASSIFIED	NA
6047	P1_I9_M2	0.86
6048	P3_I5_M1	0.84
6049	UNCLASSIFIED	NA
6050	P1_I9_M4	0.98
6051	UNCLASSIFIED	NA
6052	P1_I9_M1	0.9
6053	P1_I9_M2	0.85
6054	UNCLASSIFIED	NA
6055	P1_I9_M2	0.92
6056	P1_I9_M2	0.88
6057	UNCLASSIFIED	NA
6058	UNCLASSIFIED	NA
6059	UNCLASSIFIED	NA
6060	P1_I9_M2	0.93
6061	P1_I9_M1	0.89
6062	P2_I6_M3	0.86
6063	UNCLASSIFIED	NA
6064	P1_I9_M1	0.89
6065	P2_I6_M3	0.83
6066	P2_I6_M3	0.96
6067	P2_I6_M11	0.93
6068	P2_I6_M11	0.84
6069	P1_I9_M2	0.97
6070	P1_I9_M2	0.82
6071	UNCLASSIFIED	NA
6072	P2_I6_M6	0.83
6073	UNCLASSIFIED	NA
6074	UNCLASSIFIED	NA
6075	P1_I9_M3	0.87
6076	UNCLASSIFIED	NA
6077	P1_I9_M1	0.81
6078	P1_I9_M2	0.92
6079	UNCLASSIFIED	NA
6080	P1_I9_M1	0.81
6081	UNCLASSIFIED	NA
6082	UNCLASSIFIED	NA
6083	UNCLASSIFIED	NA
6084	UNCLASSIFIED	NA
6085	P1_I9_M2	0.86
6086	P1_I9_M2	0.98
6087	UNCLASSIFIED	NA
6088	UNCLASSIFIED	NA
6089	UNCLASSIFIED	NA
6090	UNCLASSIFIED	NA
6091	UNCLASSIFIED	NA
6092	UNCLASSIFIED	NA
6093	P2_I6_M4	0.87
6094	P2_I6_M7	0.82
6095	P2_I6_M2	0.84
6096	UNCLASSIFIED	NA
6097	P1_I9_M5	0.89
6098	P1_I9_M5	0.83
6099	UNCLASSIFIED	NA
6100	UNCLASSIFIED	NA
6101	UNCLASSIFIED	NA
6102	UNCLASSIFIED	NA
6103	P1_I9_M1	0.83
6104	P1_I9_M5	0.87
6105	P2_I6_M10	0.93
6106	P1_I9_M1	0.92
6107	UNCLASSIFIED	NA
6108	P2_I6_M3	0.87
6109	P1_I9_M2	0.83
6110	UNCLASSIFIED	NA
6111	P2_I6_M3	0.82
6112	UNCLASSIFIED	NA
6113	P1_I9_M4	0.89
6114	P1_I9_M2	0.89
6115	UNCLASSIFIED	NA
6116	UNCLASSIFIED	NA
6117	UNCLASSIFIED	NA
6118	UNCLASSIFIED	NA
6119	P1_I9_M2	0.82
6120	P2_I6_M2	0.86
6121	P1_I9_M2	0.83
6122	P2_I6_M5	0.85
6123	UNCLASSIFIED	NA
6124	P1_I9_M2	0.97
6125	P1_I9_M1	0.87
6126	UNCLASSIFIED	NA
6127	P1_I9_M1	0.91
6128	UNCLASSIFIED	NA
6129	UNCLASSIFIED	NA
6130	P2_I6_M5	0.83
6131	UNCLASSIFIED	NA
6132	UNCLASSIFIED	NA
6133	UNCLASSIFIED	NA
6134	P2_I6_M2	0.8
6135	UNCLASSIFIED	NA
6136	UNCLASSIFIED	NA
6137	UNCLASSIFIED	NA
6138	P1_I9_M2	0.96
6139	P1_I9_M1	0.84
6140	UNCLASSIFIED	NA
6141	P1_I9_M2	0.88
6142	P1_I9_M1	0.89
6143	P1_I9_M1	0.95
6144	P2_I6_M4	0.81
6145	P1_I9_M2	0.98
6146	UNCLASSIFIED	NA
6147	UNCLASSIFIED	NA
6148	UNCLASSIFIED	NA
6149	UNCLASSIFIED	NA
6150	UNCLASSIFIED	NA
6151	UNCLASSIFIED	NA
6152	P2_I6_M8	0.91
6153	UNCLASSIFIED	NA
6154	UNCLASSIFIED	NA
6155	P1_I9_M2	0.86
6156	P1_I9_M2	0.87
6157	P2_I6_M2	0.83
6158	UNCLASSIFIED	NA
6159	UNCLASSIFIED	NA
6160	UNCLASSIFIED	NA
6161	P1_I9_M3	0.97
6162	P1_I9_M2	0.82
6163	P2_I6_M2	0.93
6164	P1_I9_M1	0.85
6165	P1_I9_M2	0.85
6166	P1_I9_M1	0.94
6167	P1_I9_M2	0.95
6168	UNCLASSIFIED	NA
6169	UNCLASSIFIED	NA
6170	UNCLASSIFIED	NA
6171	UNCLASSIFIED	NA
6172	P1_I9_M2	0.89
6173	P1_I9_M2	0.93
6174	P1_I9_M2	0.91
6175	UNCLASSIFIED	NA
6176	UNCLASSIFIED	NA
6177	UNCLASSIFIED	NA
6178	UNCLASSIFIED	NA
6179	P1_I9_M2	0.86
6180	P1_I9_M3	0.84
6181	UNCLASSIFIED	NA
6182	UNCLASSIFIED	NA
6183	UNCLASSIFIED	NA
6184	UNCLASSIFIED	NA
6185	P2_I6_M9	0.81
6186	P2_I6_M6	0.93
6187	P1_I9_M1	0.95
6188	P1_I9_M3	0.95
6189	P2_I6_M2	0.83
6190	UNCLASSIFIED	NA
6191	P2_I6_M7	0.87
6192	P2_I6_M5	0.86
6193	P1_I9_M1	0.89
6194	P1_I9_M2	0.95
6195	UNCLASSIFIED	NA
6196	P2_I6_M6	0.84
6197	P1_I9_M4	0.89
6198	P2_I6_M1	0.88
6199	UNCLASSIFIED	NA
6200	P2_I6_M6	0.89
6201	P1_I9_M1	0.92
6202	P2_I6_M3	0.89
6203	P2_I6_M2	0.81
6204	UNCLASSIFIED	NA
6205	UNCLASSIFIED	NA
6206	P1_I9_M3	0.84
6207	P1_I9_M3	0.81
6208	P1_I9_M1	0.93
6209	P1_I9_M1	0.95
6210	UNCLASSIFIED	NA
6211	UNCLASSIFIED	NA
6212	UNCLASSIFIED	NA
6213	UNCLASSIFIED	NA
6214	UNCLASSIFIED	NA
6215	P2_I6_M3	0.91
6216	UNCLASSIFIED	NA
6217	UNCLASSIFIED	NA
6218	P1_I9_M1	0.97
6219	P1_I9_M2	0.86
6220	P1_I9_M1	0.92
6221	P1_I9_M1	0.87
6222	UNCLASSIFIED	NA
6223	P1_I9_M2	0.82
6224	P1_I9_M2	0.81
6225	UNCLASSIFIED	NA
6226	P2_I6_M4	0.9
6227	UNCLASSIFIED	NA
6228	UNCLASSIFIED	NA
6229	P1_I9_M1	0.83
6230	UNCLASSIFIED	NA
6231	P1_I9_M2	0.82
6232	UNCLASSIFIED	NA
6233	UNCLASSIFIED	NA
6234	P1_I9_M1	0.97
6235	UNCLASSIFIED	NA
6236	P2_I6_M8	0.85
6237	P1_I9_M2	0.83
6238	P1_I9_M2	0.93
6239	P1_I9_M3	0.83
6240	P1_I9_M3	0.88
6241	P1_I9_M2	0.93
6242	P1_I9_M2	0.92
6243	UNCLASSIFIED	NA
6244	P1_I9_M2	0.88
6245	P1_I9_M2	0.9
6246	UNCLASSIFIED	NA
6247	UNCLASSIFIED	NA
6248	P1_I9_M4	0.88
6249	UNCLASSIFIED	NA
6250	P1_I9_M1	0.86
6251	P1_I9_M1	0.83
6252	P1_I9_M1	0.88
6253	P1_I9_M1	0.92
6254	P1_I9_M1	0.91
6255	P1_I9_M1	0.9
6256	P1_I9_M1	0.87
6257	P1_I9_M2	0.96
6258	P2_I6_M5	0.83
6259	UNCLASSIFIED	NA
6260	UNCLASSIFIED	NA
6261	P1_I9_M1	0.83
6262	P1_I9_M1	0.91
6263	P1_I9_M1	0.88
6264	P1_I9_M1	0.93
6265	P2_I6_M10	0.89
6266	P2_I6_M3	0.86
6267	UNCLASSIFIED	NA
6268	P1_I9_M3	0.88
6269	UNCLASSIFIED	NA
6270	UNCLASSIFIED	NA
6271	P1_I9_M2	0.83
6272	UNCLASSIFIED	NA
6273	UNCLASSIFIED	NA
6274	P1_I9_M2	0.97
6275	P1_I9_M3	0.86
6276	UNCLASSIFIED	NA
6277	P1_I9_M1	0.91
6278	P1_I9_M1	0.86
6279	P2_I6_M1	0.82
6280	P1_I9_M1	0.88
6281	P1_I9_M1	0.92
6282	UNCLASSIFIED	NA
6283	P2_I6_M3	0.82
6284	UNCLASSIFIED	NA
6285	P2_I6_M8	0.89
6286	UNCLASSIFIED	NA
6287	P2_I6_M6	0.81
6288	P1_I9_M4	0.89
6289	P1_I9_M2	0.81
6290	P1_I9_M2	0.93
6291	UNCLASSIFIED	NA
6292	P2_I6_M8	0.97
6293	P2_I6_M1	0.89
6294	P1_I9_M6	0.89
6295	P2_I6_M4	0.9
6296	UNCLASSIFIED	NA
6297	P1_I9_M2	0.92
6298	P1_I9_M1	0.92
6299	P4_I3_M1	0.92
6300	UNCLASSIFIED	NA
6301	P3_I5_M2	0.83
6302	UNCLASSIFIED	NA
6303	UNCLASSIFIED	NA
6304	UNCLASSIFIED	NA
6305	P1_I9_M2	0.8
6306	UNCLASSIFIED	NA
6307	P1_I9_M2	0.94
6308	UNCLASSIFIED	NA
6309	P1_I9_M4	0.86
6310	P2_I6_M3	0.91
6311	P1_I9_M1	0.97
6312	P1_I9_M2	0.95
6313	P1_I9_M2	0.91
6314	P1_I9_M2	0.93
6315	UNCLASSIFIED	NA
6316	P2_I6_M9	0.86
6317	UNCLASSIFIED	NA
6318	UNCLASSIFIED	NA
6319	P1_I9_M1	0.87
6320	UNCLASSIFIED	NA
6321	P2_I6_M2	0.87
6322	P1_I9_M5	0.95
6323	UNCLASSIFIED	NA
6324	P2_I6_M10	0.89
6325	P1_I9_M1	0.88
6326	P1_I9_M1	0.85
6327	P1_I9_M1	0.9
6328	P1_I9_M1	0.9
6329	P1_I9_M1	0.92
6330	UNCLASSIFIED	NA
6331	UNCLASSIFIED	NA
6332	P1_I9_M1	0.83
6333	UNCLASSIFIED	NA
6334	P2_I6_M4	0.81
6335	P2_I6_M2	0.96
6336	P1_I9_M2	0.87
6337	UNCLASSIFIED	NA
6338	UNCLASSIFIED	NA
6339	P2_I6_M1	0.84
6340	P1_I9_M1	0.82
6341	UNCLASSIFIED	NA
6342	P1_I9_M2	0.82
6343	UNCLASSIFIED	NA
6344	P3_I5_M3	0.87
6345	P2_I6_M4	0.87
6346	P1_I9_M2	0.82
6347	UNCLASSIFIED	NA
6348	P2_I6_M7	0.83
6349	P2_I6_M1	0.84
6350	P1_I9_M5	0.85
6351	P2_I6_M3	0.87
6352	P1_I9_M1	0.88
6353	UNCLASSIFIED	NA
6354	P1_I9_M1	0.8
6355	P1_I9_M1	0.91
6356	P1_I9_M2	0.95
6357	P3_I5_M3	0.84
6358	P2_I6_M2	0.88
6359	UNCLASSIFIED	NA
6360	UNCLASSIFIED	NA
6361	P1_I9_M2	0.87
6362	P1_I9_M2	0.93
6363	P1_I9_M2	0.87
6364	P2_I6_M1	0.83
6365	P1_I9_M2	0.85
6366	UNCLASSIFIED	NA
6367	P2_I6_M4	0.85
6368	UNCLASSIFIED	NA
6369	UNCLASSIFIED	NA
6370	P1_I9_M2	0.98
6371	P1_I9_M2	0.95
6372	P2_I6_M5	0.82
6373	UNCLASSIFIED	NA
6374	UNCLASSIFIED	NA
6375	UNCLASSIFIED	NA
6376	UNCLASSIFIED	NA
6377	UNCLASSIFIED	NA
6378	P1_I9_M4	0.89
6379	UNCLASSIFIED	NA
6380	UNCLASSIFIED	NA
6381	P2_I6_M4	0.88
6382	P2_I6_M8	0.81
6383	UNCLASSIFIED	NA
6384	P1_I9_M3	0.85
6385	UNCLASSIFIED	NA
6386	P1_I9_M1	0.82
6387	P1_I9_M1	0.91
6388	P1_I9_M1	0.82
6389	P1_I9_M1	0.98
6390	P1_I9_M1	0.96
6391	P1_I9_M1	0.98
6392	P1_I9_M1	0.98
6393	P1_I9_M1	0.95
6394	P1_I9_M1	0.95
6395	P1_I9_M1	0.96
6396	UNCLASSIFIED	NA
6397	UNCLASSIFIED	NA
6398	UNCLASSIFIED	NA
6399	UNCLASSIFIED	NA
6400	UNCLASSIFIED	NA
6401	P1_I9_M3	0.85
6402	P1_I9_M1	0.87
6403	UNCLASSIFIED	NA
6404	P1_I9_M2	0.94
6405	UNCLASSIFIED	NA
6406	P1_I9_M2	0.83
6407	P1_I9_M2	0.94
6408	UNCLASSIFIED	NA
6409	UNCLASSIFIED	NA
6410	P3_I5_M1	0.84
6411	UNCLASSIFIED	NA
6412	P1_I9_M2	0.96
6413	P2_I6_M8	0.83
6414	P1_I9_M2	0.83
6415	P1_I9_M2	0.9
6416	P2_I6_M2	0.83
6417	UNCLASSIFIED	NA
6418	P1_I9_M2	0.95
6419	UNCLASSIFIED	NA
6420	P1_I9_M2	0.92
6421	UNCLASSIFIED	NA
6422	P1_I9_M2	0.93
6423	P1_I9_M1	0.82
6424	P1_I9_M1	0.91
6425	P2_I6_M3	0.83
6426	P1_I9_M2	0.96
6427	UNCLASSIFIED	NA
6428	UNCLASSIFIED	NA
6429	P1_I9_M2	0.9
6430	P1_I9_M1	0.98
6431	UNCLASSIFIED	NA
6432	UNCLASSIFIED	NA
6433	UNCLASSIFIED	NA
6434	UNCLASSIFIED	NA
6435	UNCLASSIFIED	NA
6436	P2_I6_M4	0.88
6437	UNCLASSIFIED	NA
6438	UNCLASSIFIED	NA
6439	UNCLASSIFIED	NA
6440	UNCLASSIFIED	NA
6441	P1_I9_M3	0.85
6442	P1_I9_M1	0.88
6443	P2_I6_M9	0.86
6444	UNCLASSIFIED	NA
6445	UNCLASSIFIED	NA
6446	P1_I9_M3	0.88
6447	P2_I6_M2	0.92
6448	P1_I9_M1	0.89
6449	P2_I6_M6	0.82
6450	P3_I5_M1	0.85
6451	UNCLASSIFIED	NA
6452	P1_I9_M2	0.81
6453	UNCLASSIFIED	NA
6454	P2_I6_M6	0.89
