Gene	Module	kME
369	P1_I9_M2	0.92
370	P1_I9_M2	0.94
371	P1_I9_M2	0.84
372	P1_I9_M1	0.84
373	P1_I9_M4	0.88
374	UNCLASSIFIED	NA
375	P1_I9_M2	0.97
376	P1_I9_M2	0.88
377	UNCLASSIFIED	NA
378	P3_I5_M2	0.8
379	P3_I5_M1	0.88
380	UNCLASSIFIED	NA
381	P1_I9_M1	0.95
382	UNCLASSIFIED	NA
383	UNCLASSIFIED	NA
384	P2_I6_M4	0.88
385	P1_I9_M1	0.98
386	P1_I9_M1	0.87
387	P1_I9_M2	0.95
388	P1_I9_M2	0.93
389	UNCLASSIFIED	NA
390	P1_I9_M1	0.92
391	UNCLASSIFIED	NA
392	UNCLASSIFIED	NA
393	UNCLASSIFIED	NA
394	UNCLASSIFIED	NA
395	P3_I5_M2	0.85
396	P2_I6_M3	0.86
397	UNCLASSIFIED	NA
398	UNCLASSIFIED	NA
399	P2_I6_M3	0.91
400	P1_I9_M2	0.96
401	P1_I9_M2	0.81
402	UNCLASSIFIED	NA
403	UNCLASSIFIED	NA
404	P2_I6_M9	0.86
405	P2_I6_M1	0.85
406	P2_I6_M1	0.88
407	P1_I9_M1	0.95
408	UNCLASSIFIED	NA
409	P1_I9_M3	0.92
410	UNCLASSIFIED	NA
411	UNCLASSIFIED	NA
412	UNCLASSIFIED	NA
413	UNCLASSIFIED	NA
414	P1_I9_M2	0.89
415	P2_I6_M4	0.9
416	UNCLASSIFIED	NA
417	P1_I9_M5	0.97
418	P2_I6_M10	0.84
419	P1_I9_M6	0.92
420	UNCLASSIFIED	NA
421	UNCLASSIFIED	NA
422	UNCLASSIFIED	NA
423	P1_I9_M2	0.86
424	P2_I6_M4	0.86
425	P1_I9_M1	0.94
426	P2_I6_M3	0.83
427	P3_I5_M1	0.94
428	P2_I6_M3	0.88
429	UNCLASSIFIED	NA
430	P1_I9_M2	0.94
431	P2_I6_M4	0.96
432	UNCLASSIFIED	NA
433	P1_I9_M2	0.89
434	UNCLASSIFIED	NA
435	P1_I9_M2	0.81
436	UNCLASSIFIED	NA
437	UNCLASSIFIED	NA
438	P1_I9_M3	0.89
439	P1_I9_M3	0.87
440	UNCLASSIFIED	NA
441	P1_I9_M3	0.9
442	P1_I9_M2	0.97
443	UNCLASSIFIED	NA
444	P2_I6_M9	0.87
445	P2_I6_M8	0.81
446	UNCLASSIFIED	NA
447	UNCLASSIFIED	NA
448	P2_I6_M10	0.82
449	P1_I9_M3	0.87
450	UNCLASSIFIED	NA
451	UNCLASSIFIED	NA
452	P2_I6_M3	0.84
453	UNCLASSIFIED	NA
454	UNCLASSIFIED	NA
455	P1_I9_M1	0.82
456	P2_I6_M2	0.83
457	UNCLASSIFIED	NA
458	P1_I9_M2	0.9
459	P1_I9_M2	0.9
460	UNCLASSIFIED	NA
461	P1_I9_M1	0.81
462	UNCLASSIFIED	NA
463	UNCLASSIFIED	NA
464	P1_I9_M2	0.91
465	UNCLASSIFIED	NA
466	P2_I6_M4	0.93
467	UNCLASSIFIED	NA
468	P1_I9_M1	0.82
469	UNCLASSIFIED	NA
470	P4_I3_M1	0.84
471	P2_I6_M10	0.83
472	UNCLASSIFIED	NA
473	P1_I9_M1	0.88
474	P1_I9_M1	0.94
475	P1_I9_M1	0.94
476	P1_I9_M1	0.93
477	P1_I9_M1	0.94
478	P1_I9_M1	0.87
479	P1_I9_M2	0.83
480	P1_I9_M3	0.92
481	P1_I9_M2	0.8
482	P2_I6_M2	0.93
483	P1_I9_M1	0.95
484	P1_I9_M2	0.95
485	P1_I9_M2	0.92
486	P2_I6_M3	0.87
487	P2_I6_M2	0.85
488	UNCLASSIFIED	NA
489	P1_I9_M1	0.88
490	P2_I6_M4	0.9
491	P1_I9_M2	0.95
492	P1_I9_M2	0.9
493	UNCLASSIFIED	NA
494	P1_I9_M1	0.95
495	P2_I6_M9	0.91
496	P2_I6_M7	0.84
497	P1_I9_M1	0.89
498	UNCLASSIFIED	NA
499	P2_I6_M9	0.93
500	UNCLASSIFIED	NA
501	P2_I6_M1	0.94
502	P1_I9_M2	0.91
503	UNCLASSIFIED	NA
504	P1_I9_M2	0.86
