cds_id,SampleID,SampleNames,Condition,ConditionColors,Replicate,Batch,BatchColors,Batch2,Batch2Color,Sex,Genotype,temperature,age,treatment,replicate
LM_0116__32C_5d_HKEC,10500-LM-0116,32C-5d-HKEC-rep5,32C-5d-HKEC,#bbcd94,5,10,#be6e8c,20,#c1666d,Female,WT,32C,5d,HKEC,rep5
LM_0073__30C_1d_Naive,10500-LM-0073,30C-1d-Naive-rep4,30C-1d-Naive,#ff84c5,4,6,#55ae86,21,#7257a0,Female,WT,30C,1d,Naive,rep4
LM_0074__30C_1d_HKEC,10500-LM-0074,30C-1d-HKEC-rep4,30C-1d-HKEC,#019a44,4,6,#55ae87,21,#7257a0,Female,WT,30C,1d,HKEC,rep4
LM_0077__30C_15d_Naive,10500-LM-0077,30C-15d-Naive-rep4,30C-15d-Naive,#b80063,4,6,#55ae88,21,#7257a0,Female,WT,30C,15d,Naive,rep4
LM_0078__30C_15d_HKEC,10500-LM-0078,30C-15d-HKEC-rep4,30C-15d-HKEC,#99a100,4,6,#55ae89,21,#7257a0,Female,WT,30C,15d,HKEC,rep4
LM_0087__27C_1d_Naive,10500-LM-0087,27C-1d-Naive-rep4,27C-1d-Naive,#7096ff,4,7,#cd4e47,21,#7257a0,Female,WT,27C,1d,Naive,rep4
LM_0088__27C_1d_HKEC,10500-LM-0088,27C-1d-HKEC-rep4,27C-1d-HKEC,#9ed74f,4,7,#cd4e48,21,#7257a0,Female,WT,27C,1d,HKEC,rep4
LM_0100__32C_15d_HKEC,10500-LM-0100,32C-15d-HKEC-rep5,32C-15d-HKEC,#02b0a7,5,8,#4bafd0,21,#7257a0,Female,WT,32C,15d,HKEC,rep5
LM_0097__27C_1d_Naive,10500-LM-0097,27C-1d-Naive-rep5,27C-1d-Naive,#7096ff,5,8,#4bafd0,22,#bf5f80,Female,WT,27C,1d,Naive,rep5
LM_0098__27C_1d_HKEC,10500-LM-0098,27C-1d-HKEC-rep5,27C-1d-HKEC,#9ed74f,5,8,#4bafd0,22,#bf5f80,Female,WT,27C,1d,HKEC,rep5
LM_0107__30C_15d_Naive,10500-LM-0107,30C-15d-Naive-rep5,30C-15d-Naive,#b80063,5,9,#c47b3b,22,#bf5f80,Female,WT,30C,15d,Naive,rep5
LM_0108__30C_15d_HKEC,10500-LM-0108,30C-15d-HKEC-rep5,30C-15d-HKEC,#99a100,5,9,#c47b3b,22,#bf5f80,Female,WT,30C,15d,HKEC,rep5
LM_0117__30C_1d_Naive,10500-LM-0117,30C-1d-Naive-rep5,30C-1d-Naive,#ff84c5,5,10,#be6e8c,22,#bf5f80,Female,WT,30C,1d,Naive,rep5
LM_0118__30C_1d_HKEC,10500-LM-0118,30C-1d-HKEC-rep5,30C-1d-HKEC,#019a44,5,10,#be6e8c,22,#bf5f80,Female,WT,30C,1d,HKEC,rep5
LM_0123__30C_5d_Naive,10500-LM-0123,30C-5d-Naive-rep6,30C-5d-Naive,#a2153b,6,10,#be6e8c,23,#b68ddc,Female,WT,30C,5d,Naive,rep6
LM_0124__30C_5d_HKEC,10500-LM-0124,30C-5d-HKEC-rep6,30C-5d-HKEC,#246c00,6,10,#be6e8c,23,#b68ddc,Female,WT,30C,5d,HKEC,rep6
LM_0129__30C_10d_Naive,10500-LM-0129,30C-10d-Naive-rep6,30C-10d-Naive,#65428b,6,11,#5d742c,23,#b68ddc,Female,WT,30C,10d,Naive,rep6
LM_0130__30C_10d_HKEC,10500-LM-0130,30C-10d-HKEC-rep6,30C-10d-HKEC,#e1c636,6,11,#5d742c,23,#b68ddc,Female,WT,30C,10d,HKEC,rep6
LM_0131__30C_1d_Naive,10500-LM-0131,30C-1d-Naive-rep6,30C-1d-Naive,#ff84c5,6,11,#5d742c,23,#b68ddc,Female,WT,30C,1d,Naive,rep6
LM_0132__30C_1d_HKEC,10500-LM-0132,30C-1d-HKEC-rep6,30C-1d-HKEC,#019a44,6,11,#5d742c,23,#b68ddc,Female,WT,30C,1d,HKEC,rep6
LM_0121__32C_1d_Naive,10500-LM-0121,32C-1d-Naive-rep6,32C-1d-Naive,#784710,6,10,#be6e8c,24,#a65586,Female,WT,32C,1d,Naive,rep6
LM_0122__32C_1d_HKEC,10500-LM-0122,32C-1d-HKEC-rep6,32C-1d-HKEC,#63c0ff,6,10,#be6e8c,24,#a65586,Female,WT,32C,1d,HKEC,rep6
LM_0133__32C_5d_Naive,10500-LM-0133,32C-5d-Naive-rep6,32C-5d-Naive,#64622e,6,11,#5d742c,24,#a65586,Female,WT,32C,5d,Naive,rep6
LM_0134__32C_5d_HKEC,10500-LM-0134,32C-5d-HKEC-rep6,32C-5d-HKEC,#bbcd94,6,11,#5d742c,24,#a65586,Female,WT,32C,5d,HKEC,rep6
LM_0137__32C_10d_Naive,10500-LM-0137,32C-10d-Naive-rep6,32C-10d-Naive,#ffb19a,6,11,#5d742c,24,#a65586,Female,WT,32C,10d,Naive,rep6
LM_0138__32C_10d_HKEC,10500-LM-0138,32C-10d-HKEC-rep6,32C-10d-HKEC,#00b87d,6,11,#5d742c,24,#a65586,Female,WT,32C,10d,HKEC,rep6
LM_0125__27C_15d_Naive,10500-LM-0125,27C-15d-Naive-rep6,27C-15d-Naive,#9e2cb4,6,10,#be6e8c,25,#d489bf,Female,WT,27C,15d,Naive,rep6
LM_0126__27C_15d_HKEC,10500-LM-0126,27C-15d-HKEC-rep6,27C-15d-HKEC,#55da5a,6,10,#be6e8c,25,#d489bf,Female,WT,27C,15d,HKEC,rep6
LM_0139__27C_10d_Naive,10500-LM-0139,27C-10d-Naive-rep6,27C-10d-Naive,#9479ff,6,11,#5d742c,25,#d489bf,Female,WT,27C,10d,Naive,rep6
LM_0140__27C_10d_HKEC,10500-LM-0140,27C-10d-HKEC-rep6,27C-10d-HKEC,#df6000,6,11,#5d742c,25,#d489bf,Female,WT,27C,10d,HKEC,rep6
